Назва,Вид,Місто,Сайт,Пошта (Email)
"Victoria","Готель / Гостиниця","Україна","www.viktoria-hotel.com","info@viktoria-hotel.com"
"Европейская","Готель / Гостиниця","Україна","",""
"Чигирин","Готель / Гостиниця","Україна","",""
"Хьюз","Готель / Гостиниця","Україна","",""
"Рибалка","Готель / Гостиниця","Україна","",""
"Алмаз","Готель / Гостиниця","Україна","",""
"Malibu","Готель / Гостиниця","Україна","",""
"Готель ""Поділля""","Готель / Гостиниця","Україна","http://podolye-hotel.org.ua/",""
"Санаторий ""Континент""","Готель / Гостиниця","Україна","",""
"Корона","Готель / Гостиниця","Україна","",""
"Санаторий ""Приморский""","Готель / Гостиниця","Україна","",""
"Су-Мис","Готель / Гостиниця","Україна","",""
"Піраміда","Готель / Гостиниця","Україна","",""
"Наталі","Готель / Гостиниця","Україна","","motel.natali.ua@gmail.com"
"Reikartz Карпати","Готель / Гостиниця","Україна","https://reikartz.com/uk/hotels/carpathian",""
"Крым","Готель / Гостиниця","Евпатория","",""
"база отдыха ""Дружба""","Готель / Гостиниця","Україна","",""
"Круиз","Готель / Гостиниця","Україна","",""
"TUGAN-DVIR","Готель / Гостиниця","Україна","TUGAN-DVIR.COM",""
"база отдыха ""Фламинго""","Готель / Гостиниця","Україна","",""
"ABTOCBIT","Готель / Гостиниця","Україна","",""
"Профспілковий","Готель / Гостиниця","Україна","",""
"Кумовци","Готель / Гостиниця","Україна","",""
"Меджибізький замок","Готель / Гостиниця","Україна","",""
"Кардинал","Готель / Гостиниця","Затока","",""
"Білий Камінь","Готель / Гостиниця","Україна","",""
"""Номера""","Готель / Гостиниця","Україна","",""
"Смела","Готель / Гостиниця","Україна","",""
"ТОК ""Судак""","Готель / Гостиниця","Україна","",""
"Алые Паруса","Готель / Гостиниця","Україна","",""
"Атлантик","Готель / Гостиниця","Україна","",""
"Пансионат ""Навигатор""","Готель / Гостиниця","Україна","",""
"Березино","Готель / Гостиниця","Україна","",""
"SV Park Hotel","Готель / Гостиниця","Україна","",""
"Колыбель Коктебеля","Готель / Гостиниця","Україна","",""
"Солнечный","Готель / Гостиниця","Україна","",""
"Пансионат Надежда","Готель / Гостиниця","Україна","",""
"Майамі","Готель / Гостиниця","Україна","",""
"Резон","Готель / Гостиниця","Україна","",""
"VIVA","Готель / Гостиниця","Україна","https://hotel-viva.com.ua/","info@hotel-viva.com.ua"
"Дубовая роща","Готель / Гостиниця","Україна","",""
"Катюша","Готель / Гостиниця","Україна","",""
"Зірка","Готель / Гостиниця","Україна","",""
"Villa Voyage","Готель / Гостиниця","Україна","",""
"Арго","Готель / Гостиниця","Україна","",""
"Аркадия","Готель / Гостиниця","Україна","",""
"Голивуд","Готель / Гостиниця","Україна","",""
"Лотус","Готель / Гостиниця","Україна","https://hotel-lotus.com/",""
"Мечта","Готель / Гостиниця","Україна","https://hotel-mechta.com/",""
"Санта Барбара","Готель / Гостиниця","Україна","",""
"Вояж мотель і бар","Готель / Гостиниця","Україна","",""
"Бульварная Горка","Готель / Гостиниця","Україна","",""
"Феодосия","Готель / Гостиниця","Україна","https://feo-hotel.com/","feodosiahotel@yandex.ru"
"Турбаза Золотой Пляж","Готель / Гостиниця","Україна","",""
"Дельта","Готель / Гостиниця","Україна","","delta.cv.ua@gmail.ru"
"Прем'єр-Клуб","Готель / Гостиниця","Україна","",""
"Преміум","Готель / Гостиниця","Україна","www.hotel-premium.cv.ua","hotel-premium@mail.ru"
"Ганц","Готель / Гостиниця","Україна","",""
"Готель «Коломия»","Готель / Гостиниця","Коломия","","hotel@kolomiya.com.ua"
"Екран","Готель / Гостиниця","Україна","",""
"Герольд","Готель / Гостиниця","Україна","",""
"Готель ""Зоря""","Готель / Гостиниця","Україна","",""
"Кремінна","Готель / Гостиниця","Україна","",""
"Cosmopolit","Готель / Гостиниця","Україна","",""
"Готель","Готель / Гостиниця","Україна","",""
"Парк","Готель / Гостиниця","Україна","https://parkhotel.kiev.ua/","info@parkhotel.kiev.ua"
"Водограй","Готель / Гостиниця","Україна","",""
"Сапфір","Готель / Гостиниця","Україна","",""
"Дарницький","Готель / Гостиниця","Україна","",""
"Віват","Готель / Гостиниця","Україна","https://hotelvivat.te.ua","email@hotelvivat.te.ua; vivatmotel@gmail.com"
"Старі Заліщики","Готель / Гостиниця","Україна","",""
"Боровичок","Готель / Гостиниця","Україна","",""
"Профспілка","Готель / Гостиниця","Україна","",""
"Південний","Готель / Гостиниця","Україна","",""
"Оболонь","Готель / Гостиниця","Затока","",""
"Motel","Готель / Гостиниця","Україна","",""
"Park Hotel","Готель / Гостиниця","Україна","",""
"Готель Березівка","Готель / Гостиниця","Україна","",""
"Хортиця","Готель / Гостиниця","Україна","",""
"Едем","Готель / Гостиниця","Україна","",""
"Старе місто","Готель / Гостиниця","Україна","",""
"Optima","Готель / Гостиниця","Україна","",""
"Art Lounge Hostel","Готель / Гостиниця","Україна","",""
"Готельний комплекс „Замок Рода”","Готель / Гостиниця","Україна","https://zamokroda.blogspot.com/","zamokroda@ukr.net"
"У Наталії","Готель / Гостиниця","Татарів","",""
"Статус","Готель / Гостиниця","Україна","https://status-hotel.com.ua/","statushotel2015@gmail.com"
"У Кота","Готель / Гостиниця","Україна","",""
"Велика ведмедиця","Готель / Гостиниця","Україна","",""
"Вотавілю","Готель / Гостиниця","Україна","",""
"Зорепад","Готель / Гостиниця","Україна","",""
"Крокус","Готель / Гостиниця","Україна","",""
"Маріка","Готель / Гостиниця","Україна","",""
"Полонина","Готель / Гостиниця","Україна","",""
"Смерекова хата","Готель / Гостиниця","Україна","",""
"Трембіта","Готель / Гостиниця","Україна","",""
"Хата магната","Готель / Гостиниця","Україна","",""
"12 місяців","Готель / Гостиниця","Україна","",""
"Mini Hostel Kiev","Готель / Гостиниця","Україна","http://www.minihostelkiev.com",""
"Хімік","Готель / Гостиниця","Україна","",""
"Благодать","Готель / Гостиниця","Україна","",""
"Онейро","Готель / Гостиниця","Україна","",""
"Жасмін","Готель / Гостиниця","Україна","",""
"Журе","Готель / Гостиниця","Україна","",""
"Лідія","Готель / Гостиниця","Україна","",""
"Шинок","Готель / Гостиниця","Україна","",""
"Соламія","Готель / Гостиниця","Україна","",""
"У Олега","Готель / Гостиниця","Україна","","info@u-olega.com.ua"
"4P","Готель / Гостиниця","Україна","",""
"Кілікія","Готель / Гостиниця","Україна","",""
"Гузель","Готель / Гостиниця","Україна","",""
"Монастирська","Готель / Гостиниця","Україна","",""
"Явір","Готель / Гостиниця","Україна","","hotel@yavir2000.com"
"Електрон","Готель / Гостиниця","Україна","","andom@i.ua"
"Готель Тиса","Готель / Гостиниця","Україна","",""
"TES Hotel","Готель / Гостиниця","Україна","",""
"Самоцветы","Готель / Гостиниця","Україна","","leto-v-samosvety@yandex.ru"
"Ясіня","Готель / Гостиниця","Україна","",""
"Меридіан","Готель / Гостиниця","Україна","",""
"Нарт","Готель / Гостиниця","Україна","",""
"Sobaka Hostel","Готель / Гостиниця","Україна","https://www.sobakahostel.com/",""
"Серпанок","Готель / Гостиниця","Україна","",""
"Прага","Готель / Гостиниця","Україна","https://www.hotel-praha.com.ua/","reservation@hotel-praha.com.ua"
"Старий Хутір","Готель / Гостиниця","Україна","",""
"Фільварок","Готель / Гостиниця","Україна","",""
"Монарх","Готель / Гостиниця","Україна","",""
"Берізка","Готель / Гостиниця","Україна","",""
"Ранчо ""Стара підкова""","Готель / Гостиниця","Україна","https://www.doroga.ua/Pages/RestaurantDetails.aspx?CatalogRestaurantID=932",""
"Кайзер","Готель / Гостиниця","Україна","www.kaiser-hotel.com.ua",""
"Магiя","Готель / Гостиниця","Україна","",""
"Пансионат военсовхоза «Азовский»","Готель / Гостиниця","Україна","",""
"""Акація""","Готель / Гостиниця","Україна","",""
"Тарас Бульба","Готель / Гостиниця","Україна","",""
"Зорі Карпат","Готель / Гостиниця","Україна","",""
"Богатир","Готель / Гостиниця","Україна","",""
"Гетьман","Готель / Гостиниця","Україна","",""
"Окей","Готель / Гостиниця","Україна","www.okey-motel.com.ua",""
"Автопорт","Готель / Гостиниця","Україна","",""
"Троя","Готель / Гостиниця","Україна","",""
"Пальмира","Готель / Гостиниця","Україна","",""
"Вілла ДОР","Готель / Гостиниця","Поляниця","","galina_rotaru@mail.ru"
"Maidan Palace Hotel","Готель / Гостиниця","Україна","https://www.maidanpalace-hotel.com/",""
"Арт готель Пальма","Готель / Гостиниця","Україна","http://palmahotel.lviv.ua/ru/",""
"Магура. Гостинний двір","Готель / Гостиниця","Україна","",""
"Готель ""Піги""","Готель / Гостиниця","Україна","",""
"База відпочинку Караван","Готель / Гостиниця","Україна","",""
"Готель-ресторан ""Європа""","Готель / Гостиниця","Україна","",""
"Море","Готель / Гостиниця","Україна","",""
"Вікторія","Готель / Гостиниця","Україна","",""
"Парк Хостел","Готель / Гостиниця","Україна","",""
"Reiss","Готель / Гостиниця","Україна","",""
"Ліана","Готель / Гостиниця","Україна","",""
"Киви","Готель / Гостиниця","Україна","",""
"Едуард","Готель / Гостиниця","Україна","","info@eduard.com.ua"
"Мотель-Сауна","Готель / Гостиниця","Україна","",""
"Ай-фока","Готель / Гостиниця","Україна","",""
"Мисливська Садиба","Готель / Гостиниця","Україна","",""
"Турбаза Полонина","Готель / Гостиниця","Україна","",""
"У Аніти","Готель / Гостиниця","Україна","",""
"Эльмаз","Готель / Гостиниця","Україна","",""
"Білі Роси","Готель / Гостиниця","Україна","",""
"Волна","Готель / Гостиниця","Україна","",""
"Золотой Якорь","Готель / Гостиниця","Україна","",""
"Золотий колос","Готель / Гостиниця","Україна","",""
"Лаванда","Готель / Гостиниця","Україна","",""
"Лагуна","Готель / Гостиниця","Україна","",""
"Лілія","Готель / Гостиниця","Україна","",""
"Луч","Готель / Гостиниця","Україна","",""
"Меркурий","Готель / Гостиниця","Україна","",""
"Овен","Готель / Гостиниця","Україна","",""
"Панама City","Готель / Гостиниця","Україна","",""
"Полет","Готель / Гостиниця","Україна","",""
"Ричард","Готель / Гостиниця","Україна","",""
"Ромашка","Готель / Гостиниця","Україна","",""
"Унава","Готель / Гостиниця","Україна","",""
"Югама","Готель / Гостиниця","Україна","",""
"Hotel","Готель / Гостиниця","Україна","",""
"Артур","Готель / Гостиниця","Україна","",""
"Ассоль","Готель / Гостиниця","Україна","",""
"Гранд Астория","Готель / Гостиниця","Україна","",""
"Аврора","Готель / Гостиниця","Україна","",""
"Bastion","Готель / Гостиниця","Україна","",""
"Belbek Lux","Готель / Гостиниця","Україна","",""
"Фламинго","Готель / Гостиниця","Україна","",""
"Херсонес","Готель / Гостиниця","Україна","",""
"Яхт-клуб","Готель / Гостиниця","Україна","",""
"Южный берег","Готель / Гостиниця","Україна","",""
"Качинская","Готель / Гостиниця","Україна","","info@качинская.рф"
"Мирный","Готель / Гостиниця","Україна","",""
"Мыс","Готель / Гостиниця","Україна","",""
"Никита","Готель / Гостиниця","Україна","",""
"Park-Royal","Готель / Гостиниця","Україна","",""
"Отель Серсиаль","Готель / Гостиниця","Україна","http://sersial.com.ua","otel@sersial.com.ua"
"Шторм","Готель / Гостиниця","Україна","",""
"Спартак","Готель / Гостиниця","Україна","",""
"Строитель","Готель / Гостиниця","Україна","",""
"Сурож","Готель / Гостиниця","Україна","",""
"TIS","Готель / Гостиниця","Україна","",""
"Золотой Ветер","Готель / Гостиниця","Україна","",""
"Магнолия Канака","Готель / Гостиниця","Україна","","magnolia.kanaka@gmail.com"
"Number Twenty One","Готель / Гостиниця","Україна","",""
"Джинтама","Готель / Гостиниця","Україна","",""
"Санфлауер","Готель / Гостиниця","Україна","",""
"ТОК Новый Свет","Готель / Гостиниця","Україна","",""
"Злата Вежа","Готель / Гостиниця","Україна","",""
"Софія","Готель / Гостиниця","Україна","https://sofya-hotel.com/",""
"Aeroport Hotel","Готель / Гостиниця","Україна","",""
"Мерседес","Готель / Гостиниця","Україна","",""
"Радянська","Готель / Гостиниця","Україна","",""
"Zigana","Готель / Гостиниця","Україна","",""
"Під Хмарами","Готель / Гостиниця","Україна","",""
"Тиса","Готель / Гостиниця","Україна","",""
"Фотон","Готель / Гостиниця","Україна","",""
"Villa Panama","Готель / Гостиниця","Україна","",""
"Престиж","Готель / Гостиниця","Україна","",""
"Вишиванка","Готель / Гостиниця","Україна","",""
"Оберіг","Готель / Гостиниця","Україна","",""
"Ірена","Готель / Гостиниця","Україна","https://www.irenahotel.com.ua/","reception@irenahotel.com.ua"
"Кам'янка","Готель / Гостиниця","Україна","",""
"Магура","Готель / Гостиниця","Україна","",""
"Бутік Готель SPA","Готель / Гостиниця","Україна","https://hotel-spa.kiev.ua/","hotel-spa@ukr.net"
"Скеля","Готель / Гостиниця","Україна","",""
"Deluxe Hostel Under The Roof","Готель / Гостиниця","Україна","",""
"Добрий готель","Готель / Гостиниця","Україна","",""
"Леотон","Готель / Гостиниця","Україна","",""
"Дніпро","Готель / Гостиниця","Україна","",""
"Лама","Готель / Гостиниця","Україна","",""
"Вокзал","Готель / Гостиниця","Україна","",""
"Полісся","Готель / Гостиниця","Україна","",""
"Royal Street","Готель / Гостиниця","Україна","","royalstreet.hotel@gmail.com"
"АН-2","Готель / Гостиниця","Україна","",""
"Старт","Готель / Гостиниця","Україна","https://hotelstart.com.ua/",""
"Особняк готель","Готель / Гостиниця","Україна","https://www.osobnyak.od.ua","admin@osobnyak.od.ua"
"Адмірал","Готель / Гостиниця","Україна","www.hotel-admiral.com.ua",""
"Троянда","Готель / Гостиниця","Україна","",""
"Пані Журавлина","Готель / Гостиниця","Україна","",""
"Omore","Готель / Гостиниця","Україна","",""
"Воронцовський","Готель / Гостиниця","Україна","",""
"Menora Hotel","Готель / Гостиниця","Україна","",""
"Діамант","Готель / Гостиниця","Україна","",""
"Ялинка","Готель / Гостиниця","Україна","",""
"Зелена","Готель / Гостиниця","Україна","",""
"Пролісок (Нова База)","Готель / Гостиниця","Україна","",""
"У Богдана","Готель / Гостиниця","Україна","",""
"ОАЗА","Готель / Гостиниця","Україна","",""
"Юлія (У Олега)","Готель / Гостиниця","Україна","",""
"Застава","Готель / Гостиниця","Україна","",""
"Файна файта","Готель / Гостиниця","Україна","",""
"Robert Hotel","Готель / Гостиниця","Україна","",""
"Смеричка","Готель / Гостиниця","Україна","",""
"Мальва","Готель / Гостиниця","Україна","",""
"Фелічіта","Готель / Гостиниця","Україна","",""
"Дом колхозника","Готель / Гостиниця","Україна","",""
"РоЯлта","Готель / Гостиниця","Україна","","alupka-royalta@yandex.ru"
"Мініготель Террікон","Готель / Гостиниця","Україна","",""
"Готель ""Донбас""","Готель / Гостиниця","Україна","",""
"Amerikano","Готель / Гостиниця","Україна","https://www.aparthotelamerikano.com/","info@aparthotelamerikano.com"
"1001 ночь","Готель / Гостиниця","Україна","",""
"Вилла Форос","Готель / Гостиниця","Україна","http://www.villa-foros.com.ua/","villaforos@mail.ru"
"Вилла Море","Готель / Гостиниця","Україна","",""
"Forest","Готель / Гостиниця","Україна","",""
"Кедр-Восток","Готель / Гостиниця","Україна","",""
"Кедр-Запад","Готель / Гостиниця","Україна","",""
"Ковчег","Готель / Гостиниця","Україна","",""
"Маями Стиль","Готель / Гостиниця","Україна","",""
"Эдем","Готель / Гостиниця","Україна","",""
"ПаСвІрДа","Готель / Гостиниця","Україна","",""
"Санаторий Юность","Готель / Гостиниця","Україна","",""
"Санаторий Красный Маяк","Готель / Гостиниця","Україна","",""
"Солдайя Гранд Отель","Готель / Гостиниця","Україна","https://soldayahotel.com/","info@soldayahotel.com"
"Барселона","Готель / Гостиниця","Україна","",""
"Coffee Home Hostel","Готель / Гостиниця","Україна","http://coffeehomehostel.lviv.ua/","coffee@homehostels.com.ua"
"Гранд готель","Готель / Гостиниця","Україна","",""
"LH & Spa Hotel","Готель / Гостиниця","Україна","",""
"Золота модрина","Готель / Гостиниця","Україна","",""
"Красія","Готель / Гостиниця","Україна","",""
"Kafe - bar Tatjana, penzion U Josifa","Готель / Гостиниця","Україна","",""
"Славутич","Готель / Гостиниця","Україна","",""
"Апартаменти На Добу","Готель / Гостиниця","Україна","",""
"Weekend","Готель / Гостиниця","Україна","",""
"Рафинад","Готель / Гостиниця","Україна","http://hotel-rafinad.net.ua",""
"Pallada Hotel","Готель / Гостиниця","Україна","",""
"Рим","Готель / Гостиниця","Україна","",""
"Неболшая гостиница","Готель / Гостиниця","Україна","",""
"Корсар","Готель / Гостиниця","Україна","http://corsair-hostel.com",""
"Ameli","Готель / Гостиниця","Україна","",""
"Готель Волтер","Готель / Гостиниця","Україна","https://www.hotelvolter.com.ua/",""
"Grand Resort","Готель / Гостиниця","Україна","",""
"Бориспіль","Готель / Гостиниця","Україна","",""
"Убідь","Готель / Гостиниця","Україна","",""
"Hotel Arkadis","Готель / Гостиниця","Україна","",""
"Дитячий центр соціальної реабілітації “Перлина Придніпров’я”","Готель / Гостиниця","Україна","","dz.matrosova@mail.ru"
"Garis Hostel","Готель / Гостиниця","Україна","https://garishostel.com/","kyiv@garishostel.com"
"Прилуки","Готель / Гостиниця","Україна","",""
"Бернадське","Готель / Гостиниця","Україна","",""
"Нота Бене","Готель / Гостиниця","Україна","https://www.notabenehotel.com/","reservation@notabenehotel.com; loft@notabenehotel.com; event@notabenehotel.com; info@notabenehotel.com"
"Вилла Индиго","Готель / Гостиниця","Україна","http://villa-indigo.com/",""
"Елізіум","Готель / Гостиниця","Україна","",""
"Тукан","Готель / Гостиниця","Україна","",""
"Писана Хата","Готель / Гостиниця","Україна","",""
"Захар Беркут Колиба","Готель / Гостиниця","Україна","https://zaharberkut.ua/hotel/#vysokiyverh","hotel@zaharberkut.net"
"Смерічка","Готель / Гостиниця","Україна","",""
"Rezhans","Готель / Гостиниця","Україна","",""
"Feliz Verano","Готель / Гостиниця","Україна","","vip_tour@bk.ru"
"Милена","Готель / Гостиниця","Україна","",""
"Меганом","Готель / Гостиниця","Україна","",""
"Гуляй поле","Готель / Гостиниця","Україна","",""
"База відпочинку Мотор","Готель / Гостиниця","Україна","",""
"Пансіонат ""Борей""","Готель / Гостиниця","Україна","",""
"Оздоровчий комплекс"" Люстдорф""","Готель / Гостиниця","Україна","www.ok-lustdorf.com.ua",""
"Юний Судоремонтник","Готель / Гостиниця","Україна","",""
"Četnická stanice","Готель / Гостиниця","Україна","",""
"Комплекс Відпочинку ""Ялинки-Палиці""","Готель / Гостиниця","Україна","https://www.sovinyon-ep.com.ua","elkipalki12@gmail.com"
"Аквилон","Готель / Гостиниця","Україна","",""
"Став","Готель / Гостиниця","Україна","",""
"Valencia","Готель / Гостиниця","Україна","",""
"Райский угорок","Готель / Гостиниця","Україна","",""
"Гриновские берега","Готель / Гостиниця","Україна","",""
"Марципан","Готель / Гостиниця","Україна","",""
"Тридев’яте царство","Готель / Гостиниця","Україна","",""
"Екополіс","Готель / Гостиниця","Україна","",""
"Гостиничный комплекс ""Европа""","Готель / Гостиниця","Україна","",""
"Меліоратор","Готель / Гостиниця","Україна","",""
"Парадіз","Готель / Гостиниця","Україна","",""
"Зв'язківець","Готель / Гостиниця","Україна","",""
"ДОК ""Бригантина""","Готель / Гостиниця","Україна","",""
"Пурпурові вітрила","Готель / Гостиниця","Україна","",""
"Бірюза","Готель / Гостиниця","Україна","",""
"Веснянка","Готель / Гостиниця","Україна","",""
"Голубий факел","Готель / Гостиниця","Україна","",""
"Дельфін","Готель / Гостиниця","Україна","",""
"Зоря","Готель / Гостиниця","Україна","",""
"Лотос","Готель / Гостиниця","Україна","",""
"Мілленіум","Готель / Гостиниця","Україна","",""
"Ніка","Готель / Гостиниця","Україна","",""
"Ракета, корп. № 1","Готель / Гостиниця","Україна","",""
"Стріла","Готель / Гостиниця","Україна","",""
"Чорне море","Готель / Гостиниця","Україна","",""
"Чорноморець","Готель / Гостиниця","Україна","",""
"Астері","Готель / Гостиниця","Україна","",""
"Судакская, 15","Готель / Гостиниця","Україна","",""
"Гранд","Готель / Гостиниця","Україна","",""
"Канака Орхидея","Готель / Гостиниця","Україна","",""
"Баракат","Готель / Гостиниця","Україна","","barakat1@bk.ru"
"""Окунёвка Тур"" пансионат","Готель / Гостиниця","Україна","",""
"Озерище","Готель / Гостиниця","Україна","",""
"Спеціалізований санаторій «Слава»","Готель / Гостиниця","Україна","",""
"ЦДКС М.О.","Готель / Гостиниця","Україна","",""
"Кооператор","Готель / Гостиниця","Україна","",""
"Дворянський","Готель / Гостиниця","Україна","",""
"Yurkina Faso","Готель / Гостиниця","Україна","",""
"Колибри","Готель / Гостиниця","Україна","",""
